type	uri	avsender
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=ca87c8fc-d9d6-42bf-8999-74c06f92c433	MDG Kvinnherad
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=ee6416d7-4e94-4c89-abef-38bd50ee02d4	Meløy kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=e84683de-be4b-427d-9abf-6d3e181d7b13	Midt- Tromsrådet
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=52f91e7f-64b4-4186-90c8-a30bf3e7cbaf	Møre og Romsdal fylkeskommune
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=9ef7cc0b-973f-4727-a674-26dd2cfb019e	Måsøval Fiskeoppdrett AS
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=4926f913-46a6-4559-a245-0b6fac817a93	Namdalskysten Næringsforening
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=896924ec-df4d-4bc7-9f0d-4caca31be483	Narvik kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=c3c21046-f14d-46d6-9a73-427e8a0318b3	Nettverk fjord- og kystkommuner
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=d1d1c755-5cc2-48d2-9469-cb87755450de	NHO
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=19660c04-644a-4cbc-bb88-0b7f8b18f090	NHO Mat og Drikke
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=27f15809-bf03-4193-891f-339b7cb660c1	NHO Reiseliv
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/nits-fagrad-finans.pdf?uid=NiTs_Fagr%C3%A5d_Finans	NiTs Fagråd Finans (PDF, 163KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=b36ca29f-911e-41e8-beab-655580c9d515	Nord universitet
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=9d4568fa-61f9-4fb8-bdfe-88b66d688fa9	Nord-Troms regionråd DA
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=488939b6-ac03-4b64-bb7c-10e3ea5248dc	Nordlaks
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/norland-fylkeskommune.pdf?uid=Nordland_fylkeskommune	Nordland fylkeskommune (PDF, 180KB)
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=ac1c9b29-8581-47dd-8251-a91a8c1b81f8	Norges Bondelag
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=3fbbcae9-29f9-41b9-8d72-8cfdf7c3f9b5	Norges Fiskarlag
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=284b7940-5bb1-498a-b3b7-04f7b98de71d	Norges Frukt- og Grønnsakgrossisters Forbund
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=574ba32d-2fc0-420f-9619-08e847c6263b	Norges Skogeierforbund
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=650b3ab5-0113-43c4-ad63-689b2c13a1bd	Norsk Industri
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/naringsalliansen-for-trondelag.pdf?uid=N%C3%A6ringsalliansen_for_Tr%C3%B8ndelag	Næringsalliansen for Trøndelag (PDF, 218KB)
