filnavn,sti,aar,avsender,uid,kilde_type,kilde_fil,kilde_uri,antall_tegn,antall_ord
2019_energi-norge_no-uid_79d43a1719.txt,høringer/foer-2022/2019_energi-norge_no-uid_79d43a1719.txt,2019,Energi Norge,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000013_sha256_8b966f1d402b56f5701d73f6f07427dfb74a02f74830d3e92d066056d8422736.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=5f434cbb-e650-433d-b794-dc336668c6b5,3400,485
2019_espen-henriksen-espen-moen-og-gisle-natvik-ved-instituttene-for-finans-og-samfunnskonomi-ved-handelshyskolen-bi_no-uid_9dfe690564.txt,høringer/foer-2022/2019_espen-henriksen-espen-moen-og-gisle-natvik-ved-instituttene-for-finans-og-samfunnskonomi-ved-handelshyskolen-bi_no-uid_9dfe690564.txt,2019,"Espen Henriksen, Espen Moen og Gisle Natvik ved Instituttene for finans og samfunnsøkonomi ved Handelshøyskolen BI",no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000012_sha256_39fc55c13d0a0a10aa2ede1caad949ac12e1b0ad44c463d759c89ec64baa809c.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=415dcd0d-2fa0-42f4-925b-dd2739ff3a94,8503,1270
2019_fauske-kommune_8fa001a2-8a23-4bb0-983d-83c792826013.txt,høringer/foer-2022/2019_fauske-kommune_8fa001a2-8a23-4bb0-983d-83c792826013.txt,2019,Fauske kommune,8fa001a2-8a23-4bb0-983d-83c792826013,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000010_sha256_2d8d90a68a12796e782b9762577a6a94ada35069b3427904d4d9ac8bfd4aecc3.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=8fa001a2-8a23-4bb0-983d-83c792826013,2425,339
2019_finans-norge_no-uid_c28ce8f84d.txt,høringer/foer-2022/2019_finans-norge_no-uid_c28ce8f84d.txt,2019,Finans Norge,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000018_sha256_e5318b2abe2a53f650df9a1a9132c4d59bdd0d4aaa2f9f0cba5473927e079492.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=ca6bc537-42cd-4047-bbc4-67b521aa27b8,21853,3096
2019_firda-seafood-group-as_no-uid_8d30e834ef.txt,høringer/foer-2022/2019_firda-seafood-group-as_no-uid_8d30e834ef.txt,2019,Firda Seafood Group AS,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000016_sha256_0420427fe19a71d316bda4bcb98dd573e5e30f29c60334f0a4bd1e44c0cc37a3.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=1e7da193-d901-4a79-8927-aa54446584b5,35629,5793
2019_fiskebat_4d3adc70-9688-4667-b4e9-512aa0d28918.txt,høringer/foer-2022/2019_fiskebat_4d3adc70-9688-4667-b4e9-512aa0d28918.txt,2019,Fiskebåt,4d3adc70-9688-4667-b4e9-512aa0d28918,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000015_sha256_d43c4c7b5d6f3f4af3eec1ecc02c0e804e92f8931b05c16534adfc60f7b5130a.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=4d3adc70-9688-4667-b4e9-512aa0d28918,3636,534
2019_fiskeri-og-havbruksnringens-forskningsfinansiering-as_no-uid_413b61ce97.txt,høringer/foer-2022/2019_fiskeri-og-havbruksnringens-forskningsfinansiering-as_no-uid_413b61ce97.txt,2019,Fiskeri- og havbruksnæringens forskningsfinansiering AS,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000017_sha256_0f14bd3937258e247023a2c65cffaea16b27174a6d6c3a19db922fd4e4e00c8e.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=c012024d-4ecf-4381-8569-4520c39c92af,11075,1575
2019_flatanger-kommune_85075286-1a8a-43cf-8cf3-47a98257930c.txt,høringer/foer-2022/2019_flatanger-kommune_85075286-1a8a-43cf-8cf3-47a98257930c.txt,2019,Flatanger kommune,85075286-1a8a-43cf-8cf3-47a98257930c,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000022_sha256_7a34a0e50c384022c8b56a5a72ff5a379f39ffc71f6cb421dc9a94a552c2a23c.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=85075286-1a8a-43cf-8cf3-47a98257930c,453,71
2019_fosenregionen-pdf-1mb_no-uid_74b5185c01.txt,høringer/foer-2022/2019_fosenregionen-pdf-1mb_no-uid_74b5185c01.txt,2019,"Fosenregionen (PDF, 1MB)",no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000019_sha256_97c7c7a7d59103a3396fe86ee5e5121473e073433f703b9c0fb6fce47990b6b3.pdf,https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/fosenregionen.pdf?uid=Fosenregionen,11928,1786
2019_frya-kommune_b0073bd7-6688-4bc2-9223-5b955b5c0f6d.txt,høringer/foer-2022/2019_frya-kommune_b0073bd7-6688-4bc2-9223-5b955b5c0f6d.txt,2019,Frøya kommune,b0073bd7-6688-4bc2-9223-5b955b5c0f6d,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000011_sha256_4415a3b7aead41dd68bc2865fb0323f1c19ffbd8553c771ee16f248ebb56c810.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=b0073bd7-6688-4bc2-9223-5b955b5c0f6d,6179,946
